Name,District,Description,Region,Category,Eestimated_time_to_visit,Foreign_Adult,Foreign_Child,Local_Adult,Local_Child,Student,Free_Entry,Latitude,Longitude,Main Image,Thumbnail_Image,Gallery_Image 1,Gallery_Image 2,Gallery_Image 3
Asgiri Rajamaha Viharaya,Gampaha,"A historic Buddhist monastery in Kandy, famous for its cultural significance and role in the annual Esala Perahera procession.",Central,Religious,2,0,0,0,0,0,Yes,7.110249712,79.9899024,,,,,
Dadagamuwa Rajamaha Viharaya,Gampaha,"A historic Buddhist temple known for its ancient statues and peaceful surroundings, offering spiritual calm and cultural insight.",Western,Religious,1.5,0,0,0,0,0,Yes,7.137255804,80.0512053,,,,,
Gampaha Botanical Garden,Gampaha,"A beautiful botanical garden in Gampaha with a wide variety of tropical and exotic flowers, ideal for nature walks and photography.",Western,Nature,2,0,0,0,0,0,Yes,7.10242389,79.98672869,,,,,
Morawala Beach,Gampaha,"A quiet and pristine beach with soft sand and clear waters, perfect for relaxing, swimming, and peaceful coastal walks.",Western,Beach,2,0,0,0,0,0,Yes,7.205174098,79.81734742,,,,,
Rajapaksa Park (Rukmani Devi),Gampaha,"A public park and memorial dedicated to Rukmani Devi, featuring green spaces, sculptures, and areas for family outings and leisure.",Western,Urban,1,0,0,0,0,0,Yes,7.208552042,79.84592454,,,,,
Negombo Lagoon Islands,Gampaha,"A cluster of small islands rich in mangroves and birdlife, accessible by boat tours, perfect for eco-adventure and wildlife viewing.",Western,Nature,3,0,0,0,0,0,Yes,7.159488919,79.84622756,,,,,
Porutota Beach,Gampaha,"A quiet and scenic beach known for its clean sand and calm waters, ideal for swimming and peaceful relaxation away from crowds.",Western,Beach,1.5,0,0,0,0,0,Yes,7.25908386,79.84210361,,,,,
Maha Oya Estuary,Gampaha,"A biodiverse estuary where the Maha Oya river meets the sea, attracting migratory birds and offering beautiful natural scenery.",Western,Nature,2,0,0,0,0,0,Yes,7.27092897,79.84189241,,,,,
St. Mary's Church,Gampaha,"A historic Catholic church known for its colonial architecture and vibrant community services, a peaceful place for worshippers.",Western,Religious,1,0,0,0,0,0,Yes,7.282495422,79.86382091,,,,,
Duwa Church,Gampaha,"A historic Catholic church located on a small island near Negombo, famous for its scenic views and peaceful atmosphere.",Western,Religious,1,0,0,0,0,0,Yes,7.208209382,79.82267604,,,,,
Kadolkele Church,Gampaha,"A small but significant local church, featuring colonial-style architecture and serving as a community worship center.",Western,Religious,1,0,0,0,0,0,Yes,7.198619665,79.84221178,,,,,
Negombo Main Fish Market,Gampaha,"One of the largest and busiest fish markets in Sri Lanka, offering fresh seafood and a glimpse into the local fishing industry and culture.",Western,Urban,1.5,0,0,0,0,0,Yes,7.203579745,79.82878993,,,,,
Warana Raja Maha Viharaya,Gampaha,"An ancient Buddhist temple known for its historic ruins, peaceful surroundings, and religious significance to local devotees.",Western,Religious,1.5,0,0,0,0,0,Yes,7.10249533,80.0743769,,,,,
Giritale Lake,Polonnaruwa,"A large freshwater reservoir surrounded by forest, popular for birdwatching, boating, and nearby wildlife safaris in Minneriya National Park area.",North Central,Nature,3,0,0,0,0,0,Yes,8.004480057,80.91583512,,,,,
Minneriya Lake,Polonnaruwa,"Famous for the annual elephant gathering, this vast reservoir attracts wildlife enthusiasts and offers boat safaris and spectacular nature views.",North Central,Nature,3,0,0,0,0,0,Yes,8.030457553,80.86391203,,,,,
Medirigiriya Vatadagaya,Polonnaruwa,"An ancient Buddhist stupa and monastic complex with well-preserved ruins, reflecting the rich history of Sri Lanka’s Anuradhapura period.",North Central,Historical,2,0,0,0,0,0,Yes,8.156346198,80.99613614,,,,,
Somawathiya,Polonnaruwa,"A sacred forest monastery located near the Mahaweli River, known for its ancient temples, natural beauty, and peaceful surroundings.",North Central,Religious,2,0,0,0,0,0,Yes,8.124966135,81.16847347,,,,,
Borawewa Hot Springs,Polonnaruwa,"Natural hot springs known for their therapeutic properties, offering visitors a relaxing experience surrounded by scenic greenery.",North Central,Nature,1.5,0,0,0,0,0,Yes,7.889744257,81.20141247,,,,,
Pimburathewa,Polonnaruwa,"A small village known for traditional rural lifestyle and nearby natural attractions, offering an authentic cultural experience.",North Central,Cultural,1,0,0,0,0,0,Yes,7.73446482,81.20102379,,,,,
Parakrama Samudra / Sita Palace / Door 10,Polonnaruwa,"A large ancient reservoir with historical significance, nearby ruins of Sita Palace and the famed Door 10 gate, showcasing rich medieval architecture.",North Central,Historical,2.5,0,0,0,0,0,Yes,7.874818681,80.96666497,,,,,
Polonnaruwa Rock Temple,Polonnaruwa,"A historic rock temple complex with ancient carvings and ruins, offering insight into Polonnaruwa’s religious and cultural heritage.",North Central,Historical,2,0,0,0,0,0,Yes,7.966232822,81.00491571,,,,,
Manampitiya Bridge,Polonnaruwa,"A historic steel bridge spanning the Mahaweli River, notable for its colonial-era construction and scenic views of the river and surrounding greenery.",North Central,Historical,1,0,0,0,0,0,Yes,7.913384436,81.08919994,,,,,
Museum of Ancient Technology,Polonnaruwa,"A fascinating museum showcasing traditional Sri Lankan inventions, ancient tools, and historical technologies used in daily life.",North Central,Cultural,1.5,1000,500,500,250,200,No,7.919317216,80.99607444,,,,,
Ginipetti Bridge,Polonnaruwa,A colonial-era iron bridge offering picturesque views and easy access to nearby villages and nature spots.,North Central,Historical,1,0,0,0,0,0,Yes,8.342982091,80.9864795,,,,,
Pothgul Temple,Polonnaruwa,"An ancient Buddhist temple complex famous for its historic library ruins and serene atmosphere, attracting both pilgrims and history enthusiasts.",North Central,Religious,1.5,0,0,0,0,0,Yes,6.77053241,80.36494461,,,,,
Dimbulagala Temple,Polonnaruwa,"An ancient rock temple complex perched atop a large rock formation, offering panoramic views and a glimpse into Sri Lanka’s monastic history.",North Central,Religious,2,0,0,0,0,0,Yes,7.859159822,81.115017,,,,,
Danigala,Polonnaruwa,"A forested hill known for its natural beauty and archaeological significance, popular with trekkers and history enthusiasts alike.",North Central,Nature,2,0,0,0,0,0,Yes,7.681041944,81.21405318,,,,,
Parakramabahu Palace,Polonnaruwa,"The ruins of an ancient royal palace built by King Parakramabahu, offering insights into medieval architecture and Sri Lanka’s royal history.",North Central,Historical,2,0,0,0,0,0,Yes,7.94276772,81.00068418,,,,,
Kumara Pokuna,Polonnaruwa,"An ancient royal bathing pool with intricate stonework, historically used by royalty for ritual baths in the ancient city of Polonnaruwa.",North Central,Historical,1,0,0,0,0,0,Yes,7.942351833,81.00251645,,,,,
Lankathilakaya,Polonnaruwa,"A Buddhist temple complex featuring elegant architecture and serene surroundings, important for religious ceremonies and meditation.",North Central,Religious,1.5,0,0,0,0,0,Yes,7.234167325,80.56491917,,,,,
Parakramabahu Statue,Polonnaruwa,"A large statue commemorating King Parakramabahu I, symbolizing his contributions to Sri Lanka’s history and culture, located near Polonnaruwa ruins.",North Central,Historical,0.5,0,0,0,0,0,Yes,7.926522298,80.9948437,,,,,
Nissankamalla Palace,Polonnaruwa,"The ruins of a grand royal palace built by King Nissankamalla, showcasing ancient architectural grandeur and offering insights into medieval Sri Lanka.",North Central,Historical,2,0,0,0,0,0,Yes,7.943992314,80.99801303,,,,,
Nissankamalla Royal Court,Polonnaruwa,"An ancient royal court complex adjacent to the palace ruins, historically used for judicial and administrative purposes by King Nissankamalla.",North Central,Historical,1.5,0,0,0,0,0,Yes,7.944045428,80.99801303,,,,,
Pothgul Monastery,Polonnaruwa,"An ancient Buddhist monastery famous for its historic library ruins, serving as a center for learning and meditation during the Polonnaruwa period.",North Central,Religious,1.5,0,0,0,0,0,Yes,6.925271962,79.88334112,,,,,
Rankoth Monastery,Polonnaruwa,"Known for the large Rankoth Vihara stupa, one of the largest ancient stupas in Sri Lanka, it is an important pilgrimage site with rich history.",North Central,Religious,2,0,0,0,0,0,Yes,6.71184181,79.90646995,,,,,
Thivanka Statue House,Polonnaruwa,"A rock temple complex featuring exquisite ancient Buddha statues carved into stone, showcasing artistic and religious heritage of Polonnaruwa era.",North Central,Religious,1.5,0,0,0,0,0,Yes,7.978867817,81.00610411,,,,,
Thuparama Statue House,Polonnaruwa,"One of the oldest Buddhist temples in Sri Lanka, housing ancient statues and relics, reflecting early Sri Lankan Buddhist architecture and culture.",North Central,Religious,1.5,0,0,0,0,0,Yes,8.355260451,80.39679004,,,,,
Nisshanka Latha Mandapaya,Polonnaruwa,"A unique pavilion featuring stone pillars with intricate carvings, built during King Nissankamalla’s reign as a place for royal ceremonies.",North Central,Historical,1,0,0,0,0,0,Yes,7.947785237,81.0011315,,,,,
Shiva Temple,Polonnaruwa,"An ancient Hindu temple dedicated to Lord Shiva, known for its historic significance and traditional Dravidian architectural style.",North Central,Religious,1,0,0,0,0,0,Yes,7.946563254,81.00132461,,,,,
Menik Monastery,Polonnaruwa,"A peaceful Buddhist monastery surrounded by nature, offering meditation and spiritual learning opportunities in a serene environment.",North Central,Religious,1.5,0,0,0,0,0,Yes,7.953342982,81.00234004,,,,,
Tamil Maha Seya,Polonnaruwa,"The ruins of a large ancient stupa, notable for its size and historical importance in Sri Lanka’s Buddhist heritage.",North Central,Religious,1.5,0,0,0,0,0,Yes,7.970166972,81.00537842,,,,,
Sri Dalada Maligawa,Kandy,"The sacred Temple of the Tooth Relic in Kandy, a UNESCO World Heritage Site and one of the most important Buddhist pilgrimage sites worldwide.",Central,Religious,2,0,0,0,0,0,Yes,7.293853759,80.64131427,,,,,
Kandy View Point,Kandy,"A panoramic lookout offering stunning views over Kandy city, the lake, and surrounding hills — perfect for photography and relaxation.",Central,Scenic,1,0,0,0,0,0,Yes,7.289788366,80.63977997,,,,,
Bahirawakanda Temple,Kandy,"A large Buddhist temple situated on a hill with a massive Buddha statue, offering spiritual ambiance and breathtaking views over Kandy.",Central,Religious,1.5,0,0,0,0,0,Yes,7.296515541,80.63085685,,,,,
Sadagiri Seya Temple,Kandy,"A notable Buddhist temple known for its serene environment, intricate architecture, and religious significance in the Kandy region.",Central,Religious,1.5,0,0,0,0,0,Yes,7.262537847,80.63684385,,,,,
Ranawana Temple,Kandy,"An ancient Buddhist temple known for its tranquil atmosphere and beautiful hilltop views, attracting devotees and visitors alike.",Central,Religious,1.5,0,0,0,0,0,Yes,7.278965625,80.56477345,,,,,
Nelligala,Kandy,"A scenic hill offering hiking trails and panoramic views of Kandy city and the surrounding hills, popular among nature lovers.",Central,Nature,2,0,0,0,0,0,Yes,7.302336269,80.55963308,,,,,
Peradeniya Flower Garden,Kandy,"A vibrant botanical garden near Peradeniya University featuring colorful flowers, landscaped gardens, and a great spot for relaxation.",Central,Nature,1.5,0,0,0,0,0,Yes,7.271663629,80.59667851,,,,,
Katusukonda,Kandy,"A peaceful hill area known for its scenic views, nature walks, and opportunities to observe local wildlife in a tranquil setting.",Central,Nature,2,0,0,0,0,0,Yes,7.226822609,80.63988381,,,,,
Uragala,Kandy,"A popular hiking destination offering panoramic vistas of Kandy and surrounding mountains, ideal for adventure seekers and nature lovers.",Central,Nature,2.5,0,0,0,0,0,Yes,7.228581251,80.6386301,,,,,
Hanthana Bird Sanctuary,Kandy,"A protected area near Kandy famous for its diverse bird species, peaceful trails, and excellent birdwatching opportunities.",Central,Nature,2,0,0,0,0,0,Yes,7.268939058,80.63521738,,,,,
Kabaragala,Kandy,A rugged mountain peak offering challenging trails and rewarding panoramic views for experienced hikers and nature enthusiasts.,Central,Nature,3,0,0,0,0,0,Yes,6.051796178,80.31059468,,,,,
Hanthana Kanda,Kandy,"A prominent hill known for hiking trails and stunning views of Kandy city and its lush surroundings, popular with nature lovers and trekkers.",Central,Nature,2,0,0,0,0,0,Yes,7.269374893,80.63509943,,,,,
Embekka Temple,Kandy,"Famous for its intricate wooden carvings and unique architectural style, this historic temple is a cultural treasure near Kandy.",Central,Religious,1.5,0,0,0,0,0,Yes,7.218167913,80.56767891,,,,,
Pothgul Temple,Kandy,"An ancient Buddhist temple with historic ruins and a once-famous library, significant for religious and educational heritage.",Central,Religious,1.5,0,0,0,0,0,Yes,7.194090129,80.59757489,,,,,
Haguranketha Ambalama,Kandy,"A traditional wayside rest shelter in Haguranketha, showcasing rural architecture and serving as a cultural landmark for travelers.",Central,Historical,1,0,0,0,0,0,Yes,7.177770288,80.77540311,,,,,
Pallegala Uda View Point,Kandy,"A breathtaking viewpoint offering panoramic vistas of valleys and mountains, ideal for nature lovers and photographers in the Kotmale area.",Central,Scenic,1.5,0,0,0,0,0,Yes,7.182335025,80.82040933,,,,,
Hope Nature Pool,Kandy,"A natural freshwater pool surrounded by lush greenery, perfect for swimming and relaxing amidst nature's tranquility.",Central,Nature,1.5,0,0,0,0,0,Yes,7.104526983,80.73292327,,,,,
Kotmale Maha Seya,Kandy,"An ancient Buddhist stupa located in Kotmale, known for its religious importance and historic significance in the region.",Central,Religious,1.5,0,0,0,0,0,Yes,7.069886891,80.604543,,,,,
Shri Bhakta Hanuman Kovil,Kandy,"A Hindu temple dedicated to Lord Hanuman, renowned for its vibrant religious ceremonies and colorful architecture in the Kotmale area.",Central,Religious,1,0,0,0,0,0,Yes,7.074335742,80.68034924,,,,,
Monaragala Mountain,Monaragala,A prominent mountain peak offering hiking opportunities and breathtaking panoramic views of the Monaragala district’s natural landscape.,Uva,Nature,3,0,0,0,0,0,Yes,7.085400378,80.63234747,,,,,
Daha Ata Wanguwa,Monaragala,"An ancient cave temple complex featuring historic Buddhist paintings and sculptures, set within a serene natural environment.",Uva,Religious,1.5,0,0,0,0,0,Yes,7.348187152,80.91398482,,,,,
